2024-03-09 13:24:41.223 [main] TRACE dev.cisnux.logging.LevelTest - Trace
2024-03-09 13:24:41.224 [main] DEBUG dev.cisnux.logging.LevelTest - Debug
2024-03-09 13:24:41.224 [main] INFO  dev.cisnux.logging.LevelTest - Info
2024-03-09 13:24:41.224 [main] WARN  dev.cisnux.logging.LevelTest - Warning
2024-03-09 13:24:41.224 [main] ERROR dev.cisnux.logging.LevelTest - Error
2024-03-09 13:33:56.049 [Thread-3] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.049 [Thread-5] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.049 [Thread-4] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.049 [Thread-7] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.049 [Thread-8] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.050 [Thread-3] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.050 [Thread-8] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.050 [Thread-3] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.049 [Thread-6] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.049 [Thread-9] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.049 [Thread-2] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.048 [Thread-0] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.051 [Thread-6] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.051 [Thread-0] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.048 [Thread-1] INFO  dev.cisnux.logging.MyController - Controller Save
2024-03-09 13:33:56.050 [Thread-5] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.050 [Thread-4] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.050 [Thread-7] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.050 [Thread-8] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.051 [Thread-9] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.051 [Thread-7] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.051 [Thread-2] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.051 [Thread-9] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.051 [Thread-6] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.051 [Thread-1] INFO  dev.cisnux.logging.MyService - Service Save
2024-03-09 13:33:56.051 [Thread-2] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.051 [Thread-0] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.051 [Thread-1] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.051 [Thread-5] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:33:56.051 [Thread-4] INFO  dev.cisnux.logging.MyRepository - Repository Save
2024-03-09 13:36:28.412 [Thread-0] INFO  dev.cisnux.logging.MyController - [7d1295c9-fc61-418f-b105-ecd3a88a4f81] - Controller Save
2024-03-09 13:36:28.412 [Thread-6] INFO  dev.cisnux.logging.MyController - [d793879b-94e7-4542-afaa-dc35b142e1b8] - Controller Save
2024-03-09 13:36:28.414 [Thread-0] INFO  dev.cisnux.logging.MyService - [7d1295c9-fc61-418f-b105-ecd3a88a4f81] - Service Save
2024-03-09 13:36:28.412 [Thread-1] INFO  dev.cisnux.logging.MyController - [076abc91-e79b-4601-94ef-80b1782095a4] - Controller Save
2024-03-09 13:36:28.412 [Thread-9] INFO  dev.cisnux.logging.MyController - [2cf628b0-efcf-4ac2-9e0f-019da8df07af] - Controller Save
2024-03-09 13:36:28.412 [Thread-7] INFO  dev.cisnux.logging.MyController - [ce373293-b3e3-41fc-af13-2f3c7dad5eda] - Controller Save
2024-03-09 13:36:28.414 [Thread-1] INFO  dev.cisnux.logging.MyService - [076abc91-e79b-4601-94ef-80b1782095a4] - Service Save
2024-03-09 13:36:28.414 [Thread-7] INFO  dev.cisnux.logging.MyService - [ce373293-b3e3-41fc-af13-2f3c7dad5eda] - Service Save
2024-03-09 13:36:28.412 [Thread-2] INFO  dev.cisnux.logging.MyController - [3ecb860c-3dd5-4bd2-8ce8-40045d50a23f] - Controller Save
2024-03-09 13:36:28.414 [Thread-1] INFO  dev.cisnux.logging.MyRepository - [076abc91-e79b-4601-94ef-80b1782095a4] - Repository Save
2024-03-09 13:36:28.412 [Thread-5] INFO  dev.cisnux.logging.MyController - [7cadd508-60e2-43dd-8397-87d6cfe54d43] - Controller Save
2024-03-09 13:36:28.414 [Thread-5] INFO  dev.cisnux.logging.MyService - [7cadd508-60e2-43dd-8397-87d6cfe54d43] - Service Save
2024-03-09 13:36:28.414 [Thread-5] INFO  dev.cisnux.logging.MyRepository - [7cadd508-60e2-43dd-8397-87d6cfe54d43] - Repository Save
